alert_id,categories,alert_time,source_agent,source_ip,log_path,rule_id,rule_level,rule_description,user,log_details
1737159392,"syslog,access_control,authentication_failed",2025 Jan 18 08:16:32,ubuntu_agent,192.168.25.208,/var/log/auth.log,2502,10,User missed the password more than one time,,
1737159696,,2025 Jan 18 08:21:36,ubuntu_agent,192.168.25.208,/var/log/syslog,1002,2,Unknown problem somewhere in the system.,,
1737159696,,2025 Jan 18 08:21:36,ubuntu_agent,192.168.25.208,/var/log/syslog,1002,2,Unknown problem somewhere in the system.,,
1737159698,"syslog,access_control,authentication_failed",2025 Jan 18 08:21:38,ubuntu_agent,192.168.25.208,/var/log/auth.log,2501,5,User authentication failure.,,
1737159709,,2025 Jan 18 08:21:49,ubuntu_agent,192.168.25.208,/var/log/syslog,1003,13,Non standard syslog message (size too large).,,
1737159983,,2025 Jan 18 08:26:23,ubuntu_agent,192.168.25.208,/var/log/auth.log,5402,3,Successful sudo to ROOT executed,miinning,
1737159983,"pam,syslog,authentication_success",2025 Jan 18 08:26:23,ubuntu_agent,192.168.25.208,/var/log/auth.log,5501,3,Login session opened.,,
1737159983,,2025 Jan 18 08:26:23,ubuntu_agent,192.168.25.208,/var/log/auth.log,5502,3,Login session closed.,,
1737159989,,2025 Jan 18 08:26:29,ubuntu_agent,192.168.25.208,/var/log/auth.log,5402,3,Successful sudo to ROOT executed,miinning,
1737159989,"pam,syslog,authentication_success",2025 Jan 18 08:26:29,ubuntu_agent,192.168.25.208,/var/log/auth.log,5501,3,Login session opened.,,
1737159989,,2025 Jan 18 08:26:29,ubuntu_agent,192.168.25.208,/var/log/auth.log,5502,3,Login session closed.,,
1737160059,,2025 Jan 18 08:27:39,ubuntu_agent,192.168.25.208,/var/log/auth.log,5402,3,Successful sudo to ROOT executed,miinning,
1737160059,"pam,syslog,authentication_success",2025 Jan 18 08:27:39,ubuntu_agent,192.168.25.208,/var/log/auth.log,5501,3,Login session opened.,,
1737160059,,2025 Jan 18 08:27:39,ubuntu_agent,192.168.25.208,/var/log/auth.log,5502,3,Login session closed.,,
1737160364,,2025 Jan 18 08:32:44,ubuntu_agent,192.168.25.208,/var/log/syslog,1002,2,Unknown problem somewhere in the system.,,
1737160364,,2025 Jan 18 08:32:44,ubuntu_agent,192.168.25.208,/var/log/syslog,1002,2,Unknown problem somewhere in the system.,,
1737160364,,2025 Jan 18 08:32:44,ubuntu_agent,192.168.25.208,/var/log/syslog,1002,2,Unknown problem somewhere in the system.,,
1737160773,,2025 Jan 18 08:39:33,127.0.0.1| \\1,,netstat,533,7,Listened ports status (netstat) changed (new port opened or closed).,,
1737188870,,2025 Jan 18 16:27:50,level 3,,ossec-monitord,504,3,Ossec agent disconnected.,,
1737189205,,2025 Jan 18 16:33:25,ubuntu_agent,192.168.25.208,/var/log/syslog,1002,2,Unknown problem somewhere in the system.,,
1737189265,,2025 Jan 18 16:34:25,ubuntu_agent,192.168.25.208,/var/log/auth.log,5502,3,Login session closed.,,
1737189357,"syslog,sshd,authentication_success",2025 Jan 18 16:35:57,ubuntu_agent,192.168.25.208,/var/log/auth.log,5715,3,SSHD authentication success.,miinning,
1737189357,"pam,syslog,authentication_success",2025 Jan 18 16:35:57,ubuntu_agent,192.168.25.208,/var/log/auth.log,5501,3,Login session opened.,,
1737189428,"local,syslog,apparmor",2025 Jan 18 16:37:08,ubuntu_agent,192.168.25.208,/var/log/syslog,52002,3,Apparmor DENIED,,
1737189444,,2025 Jan 18 16:37:24,ubuntu_agent,192.168.25.208,/var/log/auth.log,5402,3,Successful sudo to ROOT executed,miinning,
1737189444,"pam,syslog,authentication_success",2025 Jan 18 16:37:24,ubuntu_agent,192.168.25.208,/var/log/auth.log,5501,3,Login session opened.,,
1737189444,,2025 Jan 18 16:37:24,ubuntu_agent,192.168.25.208,/var/log/auth.log,5901,8,New group added to the system,,
1737189444,,2025 Jan 18 16:37:24,ubuntu_agent,192.168.25.208,/var/log/auth.log,5902,8,New user added to the system,,
1737189444,,2025 Jan 18 16:37:24,ubuntu_agent,192.168.25.208,/var/log/auth.log,5502,3,Login session closed.,,
1737189466,,2025 Jan 18 16:37:46,ubuntu_agent,192.168.25.208,/var/log/auth.log,5502,3,Login session closed.,,
